year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
2018,75,white,male,divorced,14,high school,2,24,13143.75,west,strong democrat,retired,NA,0,very happy,excellent,buddhism,2-3 times a month,yes,iap,iap,NA,iap,middle class,pretty well satisfied,extremely liberal,hardly any,hardly any,hardly any,only some,hardly any,a great deal,only some,only some,hardly any,hardly any,a great deal,hardly any,hardly any,no,yes,"no, neither r nor spouse hunts",favor,should be legal,don't know,iap,iap,iap,voted
1998,64,white,female,married,12,high school,6,22,72223,midwest,not very strong democrat,working full time,30,3,very happy,good,jewish,about once or twice a year,don't know,once or twice a week,every day,3,very satisfied,upper class,pretty well satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
2018,70,white,male,widowed,5,less than high school,1,22,9638.75,northeast,"independent (neither, no response)",retired,NA,0,very happy,iap,catholic,every week,yes,about once a month,once a week,2,iap,working class,pretty well satisfied,extremely conservative,only some,hardly any,only some,a great deal,only some,don't know,hardly any,a great deal,only some,don't know,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,about right,disagree,strongly agree,iap,did not vote
1998,43,white,female,never married,12,high school,5,NA,34774,west,"independent (neither, no response)",working full time,40,2,not too happy,fair,none,never,yes,about once a month,every day,2,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,did not vote
2018,67,white,male,married,18,graduate,3,25,70100,south,not very strong republican,retired,NA,1,very happy,fair,catholic,less than once a year,yes,iap,iap,NA,iap,middle class,pretty well satisfied,conservative,only some,a great deal,only some,only some,hardly any,hardly any,hardly any,a great deal,only some,a great deal,a great deal,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
1998,42,white,female,divorced,14,associate/junior college,3,23,34774,midwest,"independent, close to republican",working full time,42,2,pretty happy,excellent,catholic,several times a year,don't know,several times a month,a few times a week,2,moderately satisfied,middle class,not satisfied at all,slightly conservative,a great deal,a great deal,only some,only some,hardly any,hardly any,only some,only some,hardly any,only some,a great deal,only some,hardly any,iap,iap,iap,iap,should not be legal,don't know,disagree,disagree,iap,voted
2018,31,white,female,separated,16,bachelor's,6,19,26287.5,northeast,"independent, close to republican",working part time,30,1,not too happy,fair,none,never,yes,iap,iap,NA,very satisfied,working class,not satisfied at all,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,only some,a great deal,only some,only some,hardly any,a great deal,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,did not vote
2018,44,white,female,married,16,bachelor's,6,31,152135.07879,south,not very strong republican,working full time,1,1,pretty happy,good,catholic,about once a month,yes,almost daily,never,1,moderately satisfied,working class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",favor,iap,don't know,agree,agree,iap,voted
1998,36,black,male,never married,12,high school,5,NA,14712,northeast,"independent, close to democrat","unemployed, laid off, looking for work",NA,2,not too happy,good,protestant,less than once a year,yes,iap,iap,5,a little dissatisfied,lower class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,a great deal,only some,only some,only some,a great deal,only some,only some,only some,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,did not vote
1998,23,white,female,married,14,high school,5,20,34774,northeast,not very strong democrat,working full time,41,2,very happy,excellent,christian,every week,yes,several times a month,once a week,2,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,disagree,disagree,iap,did not vote
1998,33,white,female,married,17,bachelor's,2,26,88273,south,strong republican,working full time,60,2,pretty happy,good,catholic,every week,yes,once or twice a week,never,1,moderately satisfied,working class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,about right,disagree,strongly disagree,iap,voted
1998,34,white,female,married,12,high school,2,20,88273,midwest,strong republican,keeping house,NA,3,very happy,good,protestant,several times a week,yes,about once a month,every day,1,very satisfied,middle class,pretty well satisfied,conservative,only some,only some,only some,only some,only some,hardly any,only some,only some,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,strongly agree,iap,voted
2018,56,white,female,divorced,16,high school,5,25,47317.5,south,"independent, close to democrat",working full time,40,1,pretty happy,excellent,none,never,no,iap,iap,NA,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,only some,a great deal,a great deal,hardly any,hardly any,no,yes,"no, neither r nor spouse hunts",favor,should be legal,don't know,iap,iap,iap,voted
1998,37,white,male,married,15,high school,3,NA,72223,west,not very strong democrat,working full time,74,2,very happy,excellent,protestant,never,no,several times a year,once a week,1,very satisfied,middle class,pretty well satisfied,liberal,only some,only some,hardly any,only some,only some,only some,hardly any,only some,only some,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
2018,46,white,female,divorced,16,bachelor's,2,NA,152135.07879,west,strong democrat,working full time,40,2,very happy,iap,none,less than once a year,yes,several times a year,a few times a week,3,moderately satisfied,working class,more or less satisfied,extremely liberal,only some,only some,only some,a great deal,hardly any,only some,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,too harshly,disagree,strongly disagree,agree,voted
1998,43,white,male,divorced,12,high school,6,20,29424,west,not very strong democrat,"with a job, but not at work because of temporary illness, vacation, strike",NA,2,not too happy,fair,catholic,about once a month,yes,several times a month,less than once a week,4,moderately satisfied,lower class,not satisfied at all,slightly liberal,don't know,only some,only some,only some,only some,hardly any,hardly any,don't know,only some,hardly any,don't know,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,did not vote
1998,21,other,male,never married,13,high school,3,NA,58849,west,strong democrat,working part time,37,3,pretty happy,good,catholic,2-3 times a month,yes,almost daily,a few times a week,4,moderately satisfied,working class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,disagree,disagree,iap,voted
1998,26,black,male,never married,12,high school,3,24,40124,northeast,not very strong democrat,working full time,60,2,not too happy,fair,protestant,about once or twice a year,yes,almost daily,every day,1,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,iap,did not vote
2018,33,white,female,married,13,high school,5,17,19277.5,south,"independent (neither, no response)",working full time,40,2,pretty happy,excellent,none,about once or twice a year,yes,iap,iap,NA,very satisfied,middle class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,did not vote
1998,41,black,male,never married,12,high school,3,24,8025,midwest,not very strong democrat,other,NA,2,pretty happy,poor,protestant,about once a month,yes,almost daily,every day,8,iap,lower class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",oppose,iap,too harshly,disagree,strongly disagree,iap,did not vote
1998,20,white,male,never married,12,high school,2,NA,9630,west,"independent, close to democrat","unemployed, laid off, looking for work",NA,1,pretty happy,excellent,protestant,less than once a year,yes,several times a month,a few times a week,2,very dissatisfied,middle class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,ineligible
1998,49,white,female,married,14,associate/junior college,1,34,48149,midwest,strong democrat,working full time,40,2,very happy,good,protestant,2-3 times a month,yes,once or twice a week,a few times a week,2,very satisfied,middle class,pretty well satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,44,black,male,divorced,14,high school,1,22,48149,midwest,"independent, close to democrat",working full time,40,1,not too happy,excellent,christian,less than once a year,iap,iap,iap,NA,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",hardly any,only some,hardly any,a great deal,hardly any,hardly any,hardly any,a great deal,a great deal,hardly any,only some,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,don't know,iap,iap,iap,voted
2018,60,black,female,divorced,13,high school,4,NA,31544.999999999996,midwest,no answer,working full time,41,1,pretty happy,good,protestant,several times a year,yes,several times a month,less than once a week,2,moderately satisfied,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,agree,voted
1998,43,white,male,divorced,17,bachelor's,4,NA,148796,west,"independent, close to republican",working full time,40,2,very happy,excellent,protestant,2-3 times a month,no,several times a month,a few times a week,1,very satisfied,upper class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,41,white,male,married,14,associate/junior college,2,26,72223,south,strong democrat,working full time,44,2,very happy,excellent,protestant,every week,yes,iap,iap,2,very satisfied,middle class,pretty well satisfied,extremely conservative,only some,only some,only some,only some,hardly any,only some,hardly any,only some,hardly any,hardly any,only some,only some,only some,yes,yes,"yes, both do",favor,should not be legal,not harshly enough,iap,iap,iap,voted
